List of populated endpoints for TuneFind API trial

type,api_path
show,/api/v2/show/9-1-1
show,/api/v2/show/a-million-little-things
show,/api/v2/show/all-american
show,/api/v2/show/all-rise
show,/api/v2/show/almost-family
show,/api/v2/show/ambitions
show,/api/v2/show/american-horror-story
show,/api/v2/show/american-housewife
show,/api/v2/show/anne-with-an-e
show,/api/v2/show/arrow
show,/api/v2/show/atiye
show,/api/v2/show/atypical
show,/api/v2/show/batwoman
show,/api/v2/show/black-lightning
show,/api/v2/show/blackish
show,/api/v2/show/bless-the-harts
show,/api/v2/show/bless-this-mess
show,/api/v2/show/bluff-city-law
show,/api/v2/show/bobs-burgers
show,/api/v2/show/britannia
show,/api/v2/show/bull
show,/api/v2/show/carter
show,/api/v2/show/castle-rock
show,/api/v2/show/charmed-2018
show,/api/v2/show/chicago-fire
show,/api/v2/show/chicago-pd
show,/api/v2/show/crash-landing-on-you
show,/api/v2/show/cukur
show,/api/v2/show/dancing-with-the-stars
show,/api/v2/show/dare-me
show,/api/v2/show/dickinson
show,/api/v2/show/dollface
show,/api/v2/show/dolly-partons-heartstrings
show,/api/v2/show/dublin-murders
show,/api/v2/show/dynasty
show,/api/v2/show/eastsiders
show,/api/v2/show/el-club
show,/api/v2/show/el-vecino
show,/api/v2/show/emergence
show,/api/v2/show/empire
show,/api/v2/show/evil
show,/api/v2/show/ex-on-the-beach-2018
show,/api/v2/show/family-guy
show,/api/v2/show/fbi
show,/api/v2/show/flirty-dancing
show,/api/v2/show/for-all-mankind
show,/api/v2/show/frankie-drake-mysteries
show,/api/v2/show/fuller-house
show,/api/v2/show/geordie-shore
show,/api/v2/show/get-shorty
show,/api/v2/show/god-friended-me
show,/api/v2/show/godfather-of-harlem
show,/api/v2/show/gold-digger
show,/api/v2/show/good-trouble
show,/api/v2/show/green-eggs-and-ham
show,/api/v2/show/greys-anatomy
show,/api/v2/show/hache
show,/api/v2/show/harley-quinn
show,/api/v2/show/hawaii-five-0
show,/api/v2/show/heartland
show,/api/v2/show/high-school-musical-the-musical-the-series
show,/api/v2/show/his-dark-materials
show,/api/v2/show/home-for-christmas
show,/api/v2/show/how-to-get-away-with-murder
show,/api/v2/show/hudson-rex
show,/api/v2/show/il-processo
show,/api/v2/show/im-a-celebrity-get-me-out-of-here
show,/api/v2/show/im-with-the-band-nasty-cherry
show,/api/v2/show/into-the-dark
show,/api/v2/show/its-always-sunny-in-philadelphia
show,/api/v2/show/jersey-shore-family-vacation
show,/api/v2/show/law-order-svu
show,/api/v2/show/legacies
show,/api/v2/show/letterkenny
show,/api/v2/show/limetown
show,/api/v2/show/little-things
show,/api/v2/show/lost-in-space
show,/api/v2/show/love-hip-hop
show,/api/v2/show/love-hip-hop-hollywood
show,/api/v2/show/love-island-australia
show,/api/v2/show/madam-secretary
show,/api/v2/show/made-in-chelsea
show,/api/v2/show/magnum-pi
show,/api/v2/show/marvels-runaways
show,/api/v2/show/mayans-mc
show,/api/v2/show/merry-happy-whatever
show,/api/v2/show/mixed-ish
show,/api/v2/show/mortel
show,/api/v2/show/mr-inbetween
show,/api/v2/show/mr-mercedes
show,/api/v2/show/mr-robot
show,/api/v2/show/mrs-fletcher
show,/api/v2/show/mtv-floribama-shore
show,/api/v2/show/nancy-drew
show,/api/v2/show/ncis
show,/api/v2/show/ncis-los-angeles
show,/api/v2/show/ncis-new-orleans
show,/api/v2/show/new-amsterdam
show,/api/v2/show/no-activity
show,/api/v2/show/oltre-la-soglia
show,/api/v2/show/perfect-harmony
show,/api/v2/show/power
show,/api/v2/show/prodigal-son
show,/api/v2/show/queer-eye-were-in-japan
show,/api/v2/show/ray-donovan
show,/api/v2/show/reckoning
show,/api/v2/show/reprisal
show,/api/v2/show/rick-and-morty
show,/api/v2/show/riverdale
show,/api/v2/show/room-104
show,/api/v2/show/saturday-night-live
show,/api/v2/show/schooled
show,/api/v2/show/seal-team
show,/api/v2/show/see
show,/api/v2/show/servant
show,/api/v2/show/shameless
show,/api/v2/show/silicon-valley
show,/api/v2/show/single-parents
show,/api/v2/show/sorjonen
show,/api/v2/show/soundtrack-netflix
show,/api/v2/show/south-park
show,/api/v2/show/steven-universe-future
show,/api/v2/show/stumptown
show,/api/v2/show/sunnyside
show,/api/v2/show/supergirl
show,/api/v2/show/supernatural
show,/api/v2/show/superstore
show,/api/v2/show/swat
show,/api/v2/show/teen-mom-2
show,/api/v2/show/teen-mom-young-pregnant
show,/api/v2/show/tell-me-a-story
show,/api/v2/show/temptation-island
show,/api/v2/show/terrace-house-tokyo-2019-2020
show,/api/v2/show/the-affair
show,/api/v2/show/the-blacklist
show,/api/v2/show/the-brokenwood-mysteries
show,/api/v2/show/the-challenge
show,/api/v2/show/the-conners
show,/api/v2/show/the-crown
show,/api/v2/show/the-end-of-the-f-king-world
show,/api/v2/show/the-expanse
show,/api/v2/show/the-flash
show,/api/v2/show/the-goldbergs
show,/api/v2/show/the-good-doctor
show,/api/v2/show/the-good-place
show,/api/v2/show/the-grand-tour
show,/api/v2/show/the-imagineering-story
